,flux
2017/1/26,82.79332
2017/1/27,80.775986
2017/1/28,78.152054
2017/1/29,77.24339
2017/1/30,75.02142
2017/1/31,74.920395
2017/2/1,74.81937
2017/2/2,74.22545
2017/2/3,73.53608
2017/2/4,73.240616
2017/2/5,72.55111
2017/2/6,71.17184
2017/2/7,70.87623
2017/2/8,70.40104
2017/2/9,71.56595
2017/2/10,72.45261
2017/2/11,72.74812
2017/2/12,73.930016
2017/2/13,74.126976
2017/2/14,73.53608
2017/2/15,72.94512
2017/2/16,73.3391
2017/2/17,72.94512
2017/2/18,73.043625
2017/2/19,75.02142
2017/2/20,76.839485
2017/2/21,78.959595
2017/2/22,81.17953
2017/2/23,82.28908
2017/2/24,82.38992
2017/2/25,81.38129
2017/2/26,78.85866
2017/2/27,77.95015
2017/2/28,81.07864
2017/3/1,80.271515
2017/3/2,79.86789
2017/3/3,78.35395
2017/3/4,76.839485
2017/3/5,74.52086
2017/3/6,72.255585
2017/3/7,71.664474
2017/3/8,71.3689
2017/3/9,70.21925
2017/3/10,70.679146
2017/3/11,69.85565
